1	-0.013	0.386	0.135	0.057	0.014	0.009	0.004	0.003	1.338	2.020	2.381	2.423	-3.111	2.000	1.658	0.05
2	-0.012	0.388	0.135	0.057	0.014	0.008	0.003	0.002	1.332	2.017	2.406	2.435	-3.096	1.943	1.614	0.05
3	-0.003	0.432	0.120	0.066	0.020	0.007	0.005	0.006	1.291	2.104	2.702	2.437	2.389	-2.527	2.398	0.04
4	-0.003	0.424	0.111	0.066	0.009	0.004	0.002	0.003	1.253	2.241	2.900	2.695	-3.061	1.498	3.054	0.04
5	0.003	0.462	0.069	0.016	0.027	0.023	0.017	0.012	1.456	3.058	0.011	2.419	-1.323	1.461	3.091	0.05
6	-0.002	0.480	0.072	0.019	0.017	0.006	0.006	0.004	1.396	2.878	2.012	2.754	2.726	1.223	1.922	0.03
7	0.000	0.485	0.056	0.031	0.013	0.010	0.006	0.004	1.415	2.667	2.528	2.478	-2.969	-2.867	-1.826	0.03
8	-0.001	0.476	0.064	0.039	0.013	0.007	0.010	0.005	1.369	2.498	2.920	3.009	-2.705	-1.954	-0.790	0.03
9	-0.003	0.451	0.094	0.046	0.023	0.013	0.008	0.001	1.330	2.328	-3.079	-2.651	-1.692	-0.741	1.184	0.03
10	-0.006	0.451	0.092	0.035	0.011	0.006	0.003	0.001	1.314	2.505	-2.720	-1.883	-0.768	1.090	-2.898	0.03
